"7063","","","1","","","","","","","","","NO","NO",""
"7065","","","","","","","tool=sling and stone","","","","","YES","NO",""
"7067","","","1","","","","","","","","","NO","NO",""
"7068","","","1","","","","chi-rho suggested with cross marks over letter I","","","","","NO","NO",""
"7074","","1","","","","","","","","","","NO","NO",""
"7083","","","1","","","","","","1","","","NO","NO",""
"7085","","","","","","","modius full of something","","","","","NO","NO",""
"7086","","1","","","","","bird flanks wreath; probably matched on lost side","","","","","NO","NO",""
"7088","","","1","","","","","","","","","NO","NO",""
"7093","","","1","","","","","","","","","NO","NO",""
"7094","","","1","","","","","","","","","NO","NO",""
"7101","","","2","","","","","","","","","NO","NO",""
"7104","","","1","","","","","","","","","NO","NO",""
"7105","","","","","","","vase","","","","","NO","NO",""
"7106","","","1","","","","","","","","","NO","NO",""
"7111","","","1","","","","","","","","","NO","NO",""
"7112","","","1","","","","","","","","","NO","NO",""
"7116","","","","","","1","","","","","","NO","NO",""
"7117","","","1","","","","","","","","","NO","NO",""
"7124","","1","","","","","","","","","","NO","NO",""
"7126","","","","","","","just the hand and veil of orans remain","","1","","","NO","NO",""
"7135","","","1","","","","","","","","","NO","NO",""
"7137","","","","","","2","","","","","","NO","NO",""
"7138","","1","","","","","bird holds sprig","1","","","","NO","NO",""
"7139","","1","","","1","","bird sits on frond","","","","","NO","NO",""
"7140","","","1","","","","","","","","","NO","NO",""
"7143","","","","","","","tool=a hatchet or hammer, sth that looks like forceps","","","","","YES","NO",""
"7146","","","1","","","","","","","","","NO","NO",""
"7147","","","","","","","","","","1","","NO","NO",""
"7148","","","1","","","","","","","","","NO","NO",""
"7150","","","1","","","","likely chi-rho","","","","","NO","NO",""
"7151","","","","","","","","","","1","","NO","NO",""
"7152","","","1","","","","chi-rho is between B and M at top","","","","","NO","NO",""
"7153","","","1","","","","","","","","","NO","NO",""
"7154","","1","1","","","","there is a weird shape next to the bird, kind of looks like a hand; there may be a second chi-rho","","","","","NO","NO",""
"7158","","","","","","","sheep are lying down","","","","2","NO","NO",""
"7160","","1","","","","","bird holds branch in beak","1","","","","NO","NO",""
"7161","","","","","","2","","","","","","NO","NO",""
"7162","1","","","2","","","tool= bowl? (alabrum), chunk of wool, thread, spindle","","","","","YES","NO",""
"7164","1","","","","","","","","","","","NO","NO",""
"7167","","","","","","2","","","","","","NO","NO",""
"7168","","1","","","","","laurel wreath with bird, olive, and name inside","1","","","","NO","NO",""
"7169","","3","","","1","1","big bird on frond, two doves flanking","","","","","NO","NO",""
"7171","","","","","","2","","","","","","NO","NO",""
"7174","","","","","","2","also a cross; somebody thinks the hederae are cucurbitae, but really?","","","1","","NO","NO",""
"7175","","","","","","","tool=pen/brush/stylus","","","","","YES","NO",""
"7182","1","","","","","","","","","","","NO","NO",""
"7183","","","","","2","","it says ""frondes,"" so I'll say 2 of them","","","","","NO","NO",""
"7185","","","","","","1","","","","","","NO","NO",""
"7188","","","","","","1","","","","","","NO","NO",""
"7192","","1","","","","","","","","","","NO","NO",""
"7194","","","1","","","","","","","","","NO","NO",""
"7195","","2","","","2","","birds hold fronds; Marucchi thinks the birds were done by two different hands","","","","","NO","NO",""
"7196","","1","","","","","bird=chicken eating branch","1","","","","NO","NO",""
"7198","","1","","","1","","bird holds leaves in feet","","","","","NO","NO",""
"7202","","","","","","2","","","","","","NO","NO",""
"7203","","1","1","","1","","bird holds frond in mouth, sits on overturned vase of flowers","","","","","NO","NO",""
"7209","","","","","","1","","","","","","NO","NO",""
"7212","","","","","","","little boat with ""contractis"" sails","","","","","NO","NO",""
"7214","","1","","","1","","bird holds frond","","","","","NO","NO",""
"7223","1","1","","","","4","tool=wheel with six spokes","","","","","YES","NO",""
"7226","","","","","","2","","","","","","NO","NO",""
"7228","","","","","","1","","","","","","NO","NO",""
