"T","fragment r, r', r"" of 10321","C","NO","…iane","NO","NO","YES","63","NO","YES","F","reads ""que v…XX(X),"" which could very well be years, but what if it's days?","","","","",,,,,,,,,,,,,,,"","","E","cubiculum","e","","","2","","","","","","","","","","NO","NO","","","1","","at least","","NO","NO","NO","NO","YES","","NO","NO"
"N","fragment c' of 10321","C","NO","…io","NO","NO","YES","64","NO","NO","M",,,,,,,,,,,,,,,,,,,,"","","C","ambulacro","1","","","","","","","","","","","1","","NO","NO","","","1","","at least","",,,,,,,,
"N","fragment d of 10356","C","NO","","NO","NO","YES","65","NO","YES","I",,,,,,,,,,,,,,,,,,,,"","","I","cubiculum","i","","","","","","","1","","","","","","NO","NO","",,,,,,"NO","NO","YES","NO","NO","","NO","NO"
"N","fragment e of 10356","C","NO","","NO","NO","YES","66","NO","YES","I",,,,,,,,,,,,,,,,,,,,"at the far end","","G","ambulacro","6","","","","1","","","","","","","","","NO","NO","",,,,,,"NO","YES","NO","NO","NO","in chi-rho","NO","NO"
"Y","fragment b of 10389; image of Noah!!!","C","NO","","NO","YES","YES","67","NO","NO","I","ed reconstructs ""…NNV V…"" as ""annu unu…""","","","","1",,,,,"NO","NO","NO","NO","ed reconstructs ""fanti"" as ""infanti""","NO","YES","NO","NO","NO","","","D","cubiculum","o","","","1","","","","","Noah releasing a dove","","","","","NO","NO","",,,,,,,,,,,,,
"N","fragment b of 10395","C","NO","","NO","YES","YES","68","NO","NO","F",,,,,,,,,,"NO","NO","NO","YES","","NO","NO","NO","NO","NO","","","D","ambulacro","6","","","","1","","","","wreath around chi-rho","","","","","NO","NO","",,,,,,,,,,,,,
"N","fragment b of 10471","C","NO","","NO","NO","YES","69","NO","YES","I",,,,,,,,,,,,,,,,,,,,"","","G","ambulacro","9","","","2","","","","","two birds supporting a garland","","","","","NO","NO","",,,,,,"NO","NO","NO","NO","YES","","NO","NO"
"N","fragment b of 10474","C","NO","","NO","NO","YES","70","NO","YES","I",,,,,,,,,,,,,,,,,,,,"","","I","ambulacro","'","","","","1","","","","","","","","","NO","NO","",,,,,,"NO","NO","NO","NO","YES","","NO","NO"
"N","fragment c of 10474","C","NO","","NO","NO","YES","71","NO","YES","I",,,,,,,,,,,,,,,,,,,,"","","N","ambulacro","9","","","","1","","","","","","","","","NO","NO","",,,,,,"NO","NO","NO","NO","YES","","NO","NO"
"N","fragment q of 10517","C","NO","","NO","NO","YES","72","NO","NO","F",,,,,,,,,,,,,,,,,,,,"","","E","ambulacro","'","","","","","","","","","","","","","NO","NO","1",,,,,,,,,,,,,
"N","fragment v of 10529","C","NO","","NO","NO","YES","73","NO","NO","I",,,,,,,,,,,,,,,,,,,,"found in exploring an arcosolium in this cub.","","A","cubiculum","r","","","","","","","","boat with rudder","","","","","NO","NO","",,,,,,,,,,,,,
"N","fragment x of 10529","C","NO","","NO","NO","YES","74","NO","NO","I",,,,,,,,,,,,,,,,,,,,"","","A","cubiculum","n","","","","","","","1","","","","","","NO","NO","",,,,,,,,,,,,,
